"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
R0040001,"23.642",R11,"111825.3777","191429.3589",S192L20,"51.03179156","3.824552529","123.0",1009,"complex Laarne (5)"
A0140001,"98.193",R11,"147131.9519","210559.8781",H292L30,"51.20499817","4.327719894","493.0",3680,"Halve snede kmpt. 98.2"
A0140001,"98.193",R12,"147131.9519","210559.8781",H292L40,"51.20499817","4.327719894","493.0",3681,"Halve snede kmpt. 98.2"
A0140001,"99.7",R10,"148413.0851","211351.9373",H292L10,"51.21212238","4.346047502","494.0",3682,"Halve snede kmpt. 99.7"
A0140001,"99.7",R11,"148413.0851","211351.9373",H292L20,"51.21212238","4.346047502","494.0",3683,"Halve snede kmpt. 99.7"
A0140001,"99.7",R12,"148413.0851","211351.9373",H292L30,"51.21212238","4.346047502","494.0",3684,"Halve snede kmpt. 99.7"
R0040001,"28.569",R10,"107992.8293","188844.8765",H292L10,"51.00829544","3.770216166","125.0",1022,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.28",R12,"156484.7675","211349.4979",H192L30,"51.21206555","4.461557951","367.0",2353,"E313 Spitsstrook kmpt. 1.270"
R0040002,"28.496",R11,"108039.4965","188821.8927",H291L20,"51.00809222","3.770883708","125.0",1021,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.28",R11,"156484.7675","211349.4979",H192L20,"51.21206555","4.461557951","367.0",2352,"E313 Spitsstrook kmpt. 1.270"
R0040002,"28.496",R10,"108039.4965","188821.8927",H291L10,"51.00809222","3.770883708","125.0",1020,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.28",R10,"156484.7675","211349.4979",H192L10,"51.21206555","4.461557951","367.0",2351,"E313 Spitsstrook kmpt. 1.270"
A0130001,"1.28",R09,"156484.7675","211349.4979",H192L00,"51.21206555","4.461557951","367.0",2350,"E313 Spitsstrook kmpt. 1.270"
R0040861,"0.07",R10,"109475.8683","189147.6549",S205L10,"51.0111225","3.791312834","124.0",1019,"complex Melle (6)"
R0040821,"0.057",R10,"109250.4655","188964.9287",H107L10,"51.00946423","3.788121463","124.0",1018,"complex Melle (6)"
A0130001,"0.747",R13,"156172.5335","211764.9469",H192L40,"51.21580322","4.457096834","366.0",2349,"E313 Spitsstrook kmpt. 0.750"
R0040851,"0.327",R10,"109178.5179","189099.8429",H106L10,"51.01067189","3.787081295","124.0",1017,"complex Melle (6)"
A0130001,"0.747",R12,"156172.5335","211764.9469",H192L30,"51.21580322","4.457096834","366.0",2348,"E313 Spitsstrook kmpt. 0.750"
R0040811,"0.091",R10,"109282.5709","189087.7503",H108L10,"51.0105705","3.78856525","124.0",1016,"complex Melle (6)"
A0130001,"0.747",R11,"156172.5335","211764.9469",H192L20,"51.21580322","4.457096834","366.0",2347,"E313 Spitsstrook kmpt. 0.750"
R0040002,"27.286",R11,"109240.9739","188979.7601",H191L20,"51.00959688","3.787984574","124.0",1015,"complex Melle (6)"
A0130001,"0.747",R10,"156172.5335","211764.9469",H192L10,"51.21580322","4.457096834","366.0",2346,"E313 Spitsstrook kmpt. 0.750"
R0040002,"27.286",R10,"109240.9739","188979.7601",H191L10,"51.00959688","3.787984574","124.0",1014,"complex Melle (6)"
A0130001,"0.747",R09,"156172.5335","211764.9469",H192L00,"51.21580322","4.457096834","366.0",2345,"E313 Spitsstrook kmpt. 0.750"
R0040001,"27.289",R11,"109234.3609","188990.0143",H192L20,"51.00968858","3.787889208","124.0",1013,"complex Melle (6)"
R0010411,"1.003",R11,"155874.9125","211775.6141",H192L30,"51.21590223","4.452837543","365.0",2344,"E313 Spitsstrook kmpt. 0.4"
R0040001,"27.289",R10,"109234.3609","188990.0143",H192L10,"51.00968858","3.787889208","124.0",1012,"complex Melle (6)"
R0010411,"1.003",R10,"155874.9125","211775.6141",H192L20,"51.21590223","4.452837543","365.0",2343,"E313 Spitsstrook kmpt. 0.4"
A0039402,"19.086",R10,"169942.0963","171668.7505",S221L10,"50.85506935","4.651967779","253.0",3674,"Knooppunt Heverlee Oostkant"
A0035021,None,R10,"169934.7487","171658.6015",S207L10,"50.85497837","4.651862879","253.0",3675,"Knooppunt Heverlee Oostkant"
A0035031,"1.359",R10,"169896.7289","171619.3371",S222L10,"50.85462671","4.651320805","253.0",3676,"Knooppunt Heverlee Oostkant"
A0031011,"0.114",R10,"169899.5669","171621.4167",S208L10,"50.8546453","4.651361222","253.0",3677,"Knooppunt Heverlee Oostkant"
A0140001,"98.193",R09,"147131.9519","210559.8781",H292L10,"51.20499817","4.327719894","493.0",3678,"Halve snede kmpt. 98.2"
A0140001,"98.193",R10,"147131.9519","210559.8781",H292L20,"51.20499817","4.327719894","493.0",3679,"Halve snede kmpt. 98.2"
R0011261,"0.744",R11,"149511.3675","211464.9863",S206L20,"51.21314039","4.361764434","495.0",3690,"Halve snede kmpt. 14.9"
